Prompt,Response,,,,,,,,,,,,,,,,
Bill Status,The Bill was passed by Parliament and enacted after the assent of the Hon??le President.,,,,,,,,,,,,,,,,
Implementation Date,"Consequent upon amendment of both the Acts mentioned above, Department of Justice vide letter dated 30.01.2018 issued necessary instructions to all State Governments/UTs, Accountants General of all States and Registry Supreme Court to revise the pay, allowances and pension of all sitting and retired High Court and Supreme Court Judges.",,,,,,,,,,,,,,,,
Effective Date of Revised Rates,"Revised rates of Salary, Allowances and Pension of Supreme Court and High Court Judges w.e.f. 01.01.2016 are as under:-",,,,,,,,,,,,,,,,
Chief Justice of India - Salary,"Rs. 2,80,000/- p.m.",,,,,,,,,,,,,,,,
Chief Justice of India - Pension,"Rs. 16,80,000/- per annum + Dearness Relief Rs. 20,00,000/-",,,,,,,,,,,,,,,,
Judges of Supreme Court - Salary,"Rs. 2,50,000/- p.m.",,,,,,,,,,,,,,,,
Judges of Supreme Court - Pension,"Rs. 15,00,000/- per annum + Dearness Relief Rs. 20,00,000/-",,,,,,,,,,,,,,,,
Chief Justices of High Court - Salary,"Rs. 2,50,000/- p.m.",,,,,,,,,,,,,,,,
Chief Justices of High Court - Pension,"Rs. 15,00,000/- per annum + Dearness Relief Rs. 20,00,000/-",,,,,,,,,,,,,,,,
Judges of High Court - Salary,"Rs. 2,25,000/- p.m.",,,,,,,,,,,,,,,,
Judges of High Court - Pension,"Rs. 13,50,000/- per annum + Dearness Relief Rs. 20,00,000/-",,,,,,,,,,,,,,,,
Furnishing Allowance - Chief Justice of India,"Rs. 10,00,000/-",,,,,,,,,,,,,,,,
HRA - Chief Justice of India,24% of Basic Salary,,,,,,,,,,,,,,,,
Sumptuary Allowance - Chief Justice of India,"Rs. 45,000/- per month",,,,,,,,,,,,,,,,
Furnishing Allowance - Judges of Supreme Court,"Rs. 8,00,000/-",,,,,,,,,,,,,,,,
HRA - Judges of Supreme Court,24% of Basic Salary,,,,,,,,,,,,,,,,
Sumptuary Allowance - Judges of Supreme Court,"Rs. 34,000/- per month",,,,,,,,,,,,,,,,
Furnishing Allowance - Chief Justices of High Court,"Rs. 8,00,000/-",,,,,,,,,,,,,,,,
HRA - Chief Justices of High Court,24% of Basic Salary,,,,,,,,,,,,,,,,
Sumptuary Allowance - Chief Justices of High Court,"Rs. 34,000/- per month",,,,,,,,,,,,,,,,
Furnishing Allowance - Judges of High Court,"Rs. 6,00,000/-",,,,,,,,,,,,,,,,
HRA - Judges of High Court,24% of Basic Salary,,,,,,,,,,,,,,,,
Sumptuary Allowance - Judges of High Court,"Rs. 27,000/- per month",,,,,,,,,,,,,,,,
Further HRA Increase,Further increase of HRA @ 27% when Dearness Allowance (DA) crosses 25% and @ 30% when DA crosses 50% has also been agreed to by Cabinet.,,,,,,,,,,,,,,,,
Salary Charging Funds,"The Salaries, Pension and Allowances of the Supreme Court Judges are charged upon the Consolidated Fund of India, whereas the Salaries and Allowances of the High Court Judges are charged upon the Consolidated Fund of the States and the Pension is charged on the Consolidated Fund of India.",,,,,,,,,,,,,,,,
Commission Formation,"In pursuance of the directions of the Supreme Court, the First National Judicial Pay Commission (FNJPC) was set up in March, 1996 under the Chairmanship of Justice K. J. Shetty to examine the service conditions and salary structure of the Judicial Officers in the country.",,,,,,,,,,,,,,,,
Funding Source,The necessary funds for the functioning of the Commission were arranged by the Department of Justice.,,,,,,,,,,,,,,,,
Report Submission Date,The Commission submitted its report to the Government and Supreme Court of India on 11.11.1999.,,,,,,,,,,,,,,,,
Supreme Court Examination,The Supreme Court examined the report in full and accepted the recommendations of the FNJPC with various modifications and directed all State Governments to implement it vide Order dated 21.03.2002.,,,,,,,,,,,,,,,,
Central Government Consideration,The recommendations of the FNJPC were considered by the Central Government in so far as they related to the Judicial Officers of the Union Territories for which the Central Government is administratively responsible.,,,,,,,,,,,,,,,,
Implementation by Central Government,The recommendations of the FNJPC were accepted and implemented by the Department of Justice in respect of Judicial Officers of UTs.,,,,,,,,,,,,,,,,
Implementation by State Governments,All the State Governments also implemented the recommendations of the FNJPC.,,,,,,,,,,,,,,,,
What was the directive given by the Supreme Court of India regarding the Judicial Pay Commission?,"The Supreme Court of India on 09.05.2017 in Writ Petition No.643/2015 directed the appointment of a Judicial Pay Commission to review the pay scales, emoluments, and service conditions of the Judicial Officers of Subordinate Judiciary in India.",,,,,,,,,,,,,,,,
When was the SNJPC officially notified?,"With the approval of the Cabinet, the Government notified the setting up of the SNJPC on 16.11.2017 under the Chairmanship of Mr. Justice (Retd.) P. Venkatarama Reddi, former Judge of the Supreme Court of India.",,,,,,,,,,,,,,,,
Who are the members of the SNJPC?,- Chairman: Mr. Justice (Retd.) P. Venkatarama Reddi,,,,,,,,,,,,,,,,
,"- Member: Mr. Justice (Retd.) R. Basant, former Judge of Kerala High Court",,,,,,,,,,,,,,,,
,"- Member Secretary: to be chosen by the Commission, preferably a Judicial Officer.",,,,,,,,,,,,,,,,
When was the report submitted by the SNJPC?,SNJPC submitted their report to the Department on 04.02.2020. A copy of the report has been submitted to the Supreme Court of India and to State Governments.,,,,,,,,,,,,,,,,
What is the current status of the SNJPC recommendations?,The recommendations of SNJPC are under consideration of the Supreme Court of India. This Department has filed its views/comments on the recommendations of SNJPC in the Supreme Court of India on 22.06.2020.,,,,,,,,,,,,,,,,
How will the recommendations be implemented for Union Territories?,"The recommendations of SNJPC shall be considered by this Department in respect of judicial officers of the Union Territories in consultation with the Department of Expenditure, Ministry of Finance, and necessary orders will be issued to Union Territories to revise the pay and allowances of Judicial Officers under their administrative control.",,,,,,,,,,,,,,,,
What request was received by the Government of National Capital Territory of Delhi regarding pecuniary jurisdiction?,The Government received a request for enhancement of original pecuniary jurisdiction of District Courts of Delhi from the existing ??20 lakh to ??2 crore from the Coordination Committee of All Bar Associations of Delhi.,,,,,,,,,,,,,,,,
What was the Government's observation regarding the enhancement of pecuniary jurisdiction?,"The Government observed that increasing the pecuniary jurisdiction would lessen the burden on the High Court and improve the disposal of cases in subordinate courts. Additionally, it would facilitate public access to District Courts within their vicinity, providing ""Justice at Doorstep.""",,,,,,,,,,,,,,,,
What was introduced in Parliament regarding the pecuniary limits of the District Courts?,"A proposal was received from the Government of NCT of Delhi seeking amendments in the Delhi High Court Act, 1966, to enhance the pecuniary limits of the District Courts of Delhi. This resulted in the introduction of The Delhi High Court (Amendment) Bill, 2015, in Parliament.",,,,,,,,,,,,,,,,
"What was the outcome of The Delhi High Court (Amendment) Bill, 2015?",The Bill was considered and passed by both Houses of Parliament. It received the assent of the President of India on 10.08.2015 and was brought into force effective from 26.10.2015.,,,,,,,,,,,,,,,,
How does increasing the pecuniary jurisdiction benefit the public?,"Increasing the pecuniary jurisdiction of District Courts would lessen the burden of the Delhi High Court, improve case disposal in subordinate courts, and facilitate access to the general public to 11 District Courts located in 6 District Court Complexes, ensuring speedy justice at their doorstep.",,,,,,,,,,,,,,,,
What does Article 348(1) of the Constitution of India state regarding court proceedings?,Article 348(1) provides that all proceedings in the Supreme Court and in every High Court shall be in English language until Parliament by law otherwise provides.,,,,,,,,,,,,,,,,
What does Article 348(2) allow concerning the use of regional languages in High Court proceedings?,"Article 348(2) allows the Governor of a State, with the President's consent, to authorize the use of Hindi or any other language for official purposes in the proceedings of the High Court, provided that decrees, judgments, or orders passed by such High Courts are in English.",,,,,,,,,,,,,,,,
"What does the Official Language Act, 1963 state regarding language use in High Court judgments?","The Official Language Act, 1963 reiterates that the use of Hindi or a State's official language, in addition to English, may be authorized by the Governor of the State for judgments, decrees, etc., made by the High Court for that State, with the President's consent. No law has been made by Parliament so far.",,,,,,,,,,,,,,,,
What recommendation did the 18th Law Commission of India make regarding the use of Hindi in the Supreme Court?,"The 18th Law Commission, in its 216th Report (2008), recommended that the higher judiciary should not be subjected to any change regarding language use in the current societal context, a stance accepted by the Government.",,,,,,,,,,,,,,,,
Which states have authorized the use of Hindi in High Court proceedings?,"Hindi has been authorized in the proceedings and judgments of the High Courts in Rajasthan, Madhya Pradesh, Uttar Pradesh, and Bihar.",,,,,,,,,,,,,,,,
What proposals have been received from other states regarding language use in High Court proceedings?,"Proposals have been received from Tamil Nadu, Gujarat, Chhattisgarh, West Bengal, and Karnataka to permit the use of Tamil, Gujarati, Hindi, Bengali, and Kannada in the proceedings of their respective High Courts.",,,,,,,,,,,,,,,,
What was the outcome of proposals for using regional languages in High Courts?,"The Chief Justice of India, after deliberations, decided not to accept the proposals for using regional languages in High Courts. This decision was reiterated in response to subsequent requests from the Government of Tamil Nadu for reconsideration.",,,,,,,,,,,,,,,,
How many acts are there in law?,891,,,,,,,,,,,,,,,,
How does the Department of Justice (DoJ) receive public grievances?,"The DoJ receives a large number of grievances through the President?? Secretariat, Vice-President?? Secretariat, PMO, and directly from citizens via the online CPGRAMS Portal. It is rated as one of the 20 largest grievance-receiving Departments by the Department of Administrative Reforms & Public Grievances.",,,,,,,,,,,,,,,,
What types of grievances does the Department of Justice handle?,"The DoJ is mandated to deal with grievances related to the appointment of Judges of the Supreme Court/High Courts, legal assistance, legal aid, legal awareness, e-Courts, and Judicial Reforms.",,,,,,,,,,,,,,,,
What happens to grievances related to the judiciary?,"Grievances related to the judiciary are forwarded electronically to the Secretary General of the Supreme Court of India or the Registrar General of the concerned High Court for further action, and a copy is sent to the grievance holder for information.",,,,,,,,,,,,,,,,
How are grievances examined within the Department of Justice?,Grievances received are considered and examined by the Judiciary as per their internal mechanisms and procedures. The DoJ cannot inform the grievance holders of the outcome in such cases.,,,,,,,,,,,,,,,,
What is the purpose of the CPGRAMS Version 7.0 launched in the DOJ?,"CPGRAMS Version 7.0 aims to reduce the travel time for resolving grievances, allowing citizens to directly reach the concerned officer responsible for resolution by selecting from a dropdown menu.",,,,,,,,,,,,,,,,
How many grievances were received and disposed of in September 2024?,"In September 2024, the DoJ received 1,086 grievances through CPGRAMS, of which 801 were disposed of, leaving a cumulative pendency of 285 grievances.",,,,,,,,,,,,,,,,
What is the role of the Judiciary according to the Constitution of India?,"The Judiciary is an independent organ of the State under the Constitution of India, and the Government of India does not interfere in its functioning.",,,,,,,,,,,,,,,,
Who has administrative control over the subordinate judiciary?,"The administrative and disciplinary control over the members of the subordinate judiciary in the States vests with the concerned High Court and the respective State Government, which frames Rules and Regulations in consultation with the High Courts.",,,,,,,,,,,,,,,,
Does the Central Government maintain records related to court proceedings?,"No, the Central Government neither maintains records related to any court proceedings, decisions, or judgments, nor does it have a mechanism to monitor the action taken on them.",,,,,,,,,,,,,,,,
Can the Government expedite court proceedings?,"No, the Government cannot ask a Court of Law to expedite the proceedings of any particular case, and no action can be taken regarding grievances related to delays in the disposal of cases.",,,,,,,,,,,,,,,,
How can a judicial order be challenged?,"A judicial order can be challenged only before the appropriate Court of Law as per the prescribed legal procedure, making it futile to file a grievance against a judicial order or judgment.",,,,,,,,,,,,,,,,
How are grievances against a Judge handled?,"Grievances against a Judge can be taken up for inquiry by the concerned High Court or Supreme Court as per their in-house procedure, and the Government has no role in the disposal of such grievances.",,,,,,,,,,,,,,,,
Where can detailed guidelines on grievances be found?,Detailed guidelines on grievances received in the Department of Justice are available on the Department's website at doj.gov.in. Grievances against Judicial Officers must be sent on sworn affidavit with verifiable facts to the Registrar General of the concerned High Court.,,,,,,,,,,,,,,,,
What should not be included with grievances filed in court?,"Petitions, applications, and other documents to be filed before a Court of Law should not be forwarded with grievances, as these must be presented in person or by a duly authorized agent or advocate on record.",,,,,,,,,,,,,,,,
What is the procedure for follow-up on grievances?,"As the Judiciary is independent and the Government does not interfere, no further follow-up or correspondence is made by the Government after forwarding a grievance to the concerned High Court or Supreme Court.",,,,,,,,,,,,,,,,
How can citizens lodge grievances online?,"Citizens can lodge their grievances online through pgportal.gov.in. As a result, no action is taken on grievances received through e-mail.",,,,,,,,,,,,,,,,
What should be done once a final reply is given on a grievance?,"Once a final reply is given on a grievance, it should not be repeated again.",,,,,,,,,,,,,,,,
"What was the purpose of the Criminal Law (Amendment) Act, 2018?","The Act aimed to champion the cause of safety and security for women and girls by providing stringent punishments, including the death penalty for perpetrators of rape.",,,,,,,,,,,,,,,,
Why were Fast Track Special Courts (FTSCs) established?,"FTSCs were established to address the incidents of sexual offences and prolonged trials, providing immediate relief to victims by ensuring expeditious trials for sexual offences.",,,,,,,,,,,,,,,,
When did the Department of Justice start implementing FTSCs?,"The implementation of FTSCs began in October 2019 as part of a Centrally Sponsored Scheme to set up dedicated courts for the expeditious trial of sexual offences, including exclusive POCSO Courts.",,,,,,,,,,,,,,,,
How many States and Union Territories (UTs) have joined the FTSC scheme?,"Out of 31 eligible States and UTs, 30 have joined the FTSC scheme, with Puducherry making a special request to join, leading to the operationalization of one exclusive POCSO Court in May 2023.",,,,,,,,,,,,,,,,
What was the initial budget for the FTSC scheme?,"The initial budget for the FTSC scheme was Rs. 767.25 crore, with Rs. 474 crore as the Central Share to be met from the Nirbhaya Fund.",,,,,,,,,,,,,,,,
How long was the FTSC scheme initially approved to continue?,"The FTSC scheme was initially approved for a period of one year, covering two financial years (2019-20 and 2020-21). It was later extended by the Cabinet for two more years, up to March 2023, with a total budgetary outlay of Rs. 1572.86 crore.",,,,,,,,,,,,,,,,
What is the extended duration and budget of the FTSC scheme approved in 2023?,"The Union Cabinet extended the FTSC scheme for another three years, from 01.04.2023 to 31.03.2026, with a total financial outlay of Rs. 1952.23 crore, including Rs. 1207.24 crore as Central Share from the Nirbhaya Fund.",,,,,,,,,,,,,,,,
How many FTSCs and exclusive POCSO Courts are currently functional?,"As of September 2024, there are 750 FTSCs operational, including 408 exclusive POCSO (ePOCSO) Courts, which have disposed of more than 281,000 pending cases.",,,,,,,,,,,,,,,,
What is the budget allocation for FTSCs in the F.Y. 2024-25?,"A total of Rs. 200.00 crore has been allocated for the functioning of FTSCs in the financial year 2024-25, with Rs. 173.59 crore released as Central Share of funds to date.",,,,,,,,,,,,,,,,
How does the Department of Justice monitor the implementation of FTSCs?,The Department has created an online monitoring framework for monthly tracking of case statistics and conducts regular review meetings with the Registrar Generals of High Courts and State functionaries for robust implementation of the FTSC scheme.,,,,,,,,,,,,,,,,
How many functional Fast Track Special Courts (FTSCs) are there?,"750 functional Fast Track Special Courts, including exclusive POCSO Courts.",,,,,,,,,,,,,,,,
What is the total number of exclusive POCSO Courts that are functional?,408 total functional exclusive POCSO Courts.,,,,,,,,,,,,,,,,
What is the cumulative disposal since the inception of the FTSC scheme?,"281,691 cumulative disposals since the inception of the scheme.",,,,,,,,,,,,,,,,
What is the current pendency in Fast Track Special Courts?,"203,588 pending cases in Fast Track Special Courts, including exclusive POCSO Courts.",,,,,,,,,,,,,,,,
How many functional Fast Track Special Courts (FTSCs) are there in Andhra Pradesh?,16,,,,,,,,,,,,,,,,
What is the total number of functional FTSCs in Assam?,17,,,,,,,,,,,,,,,,
"In Bihar, how many functional FTSCs are operational?",46,,,,,,,,,,,,,,,,
How many functional FTSCs are established in Chandigarh?,1,,,,,,,,,,,,,,,,
What is the number of functional FTSCs in Chhattisgarh?,15,,,,,,,,,,,,,,,,
How many functional FTSCs are there in Delhi?,16,,,,,,,,,,,,,,,,
Is there any functional FTSC in Goa?,1,,,,,,,,,,,,,,,,
How many functional FTSCs does Gujarat have?,35,,,,,,,,,,,,,,,,
What is the number of functional FTSCs in Haryana?,16,,,,,,,,,,,,,,,,
How many functional FTSCs are operational in Himachal Pradesh?,6,,,,,,,,,,,,,,,,
How many functional FTSCs exist in Jammu and Kashmir?,4,,,,,,,,,,,,,,,,
What is the count of functional FTSCs in Jharkhand?,22,,,,,,,,,,,,,,,,
How many functional FTSCs are there in Karnataka?,31,,,,,,,,,,,,,,,,
What is the number of functional FTSCs in Kerala?,55,,,,,,,,,,,,,,,,
How many functional FTSCs are operational in Madhya Pradesh?,67,,,,,,,,,,,,,,,,
How many functional FTSCs does Maharashtra have?,8,,,,,,,,,,,,,,,,
Are there any functional FTSCs in Manipur?,2,,,,,,,,,,,,,,,,
What is the number of functional FTSCs in Meghalaya?,5,,,,,,,,,,,,,,,,
How many functional FTSCs are established in Mizoram?,3,,,,,,,,,,,,,,,,
Is there any functional FTSC in Nagaland?,1,,,,,,,,,,,,,,,,
How many functional FTSCs exist in Odisha?,44,,,,,,,,,,,,,,,,
What is the count of functional FTSCs in Puducherry?,1,,,,,,,,,,,,,,,,
How many functional FTSCs does Punjab have?,12,,,,,,,,,,,,,,,,
How many functional FTSCs are operational in Rajasthan?,45,,,,,,,,,,,,,,,,
What is the number of functional FTSCs in Tamil Nadu?,14,,,,,,,,,,,,,,,,
How many functional FTSCs are there in Telangana?,36,,,,,,,,,,,,,,,,
What is the count of functional FTSCs in Tripura?,3,,,,,,,,,,,,,,,,
How many functional FTSCs are operational in Uttar Pradesh?,218,,,,,,,,,,,,,,,,
How many functional FTSCs exist in Uttarakhand?,4,,,,,,,,,,,,,,,,
What is the number of functional FTSCs in West Bengal?,6,,,,,,,,,,,,,,,,
How many non-functional FTSCs are there in Andaman and Nicobar?,0,,,,,,,,,,,,,,,,
What is the count of non-functional FTSCs in Arunachal Pradesh?,0,,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Andaman and Nicobar?,0,,,,,,,,,,,,,,,,
How many cases have been disposed of in Andhra Pradesh's exclusive POCSO courts?,"5,655",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Arunachal Pradesh?,0,,,,,,,,,,,,,,,,
How many cases have been disposed of in Assam's exclusive POCSO courts?,"6,837",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Bihar?,"13,400",,,,,,,,,,,,,,,,
How many cases have been disposed of in Chandigarh's exclusive POCSO courts?,292,,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Chhattisgarh?,"5,425",,,,,,,,,,,,,,,,
How many cases have been disposed of in Delhi's exclusive POCSO courts?,"2,103",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Goa?,80,,,,,,,,,,,,,,,,
How many cases have been disposed of in Gujarat's exclusive POCSO courts?,"13,459",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Haryana?,"6,764",,,,,,,,,,,,,,,,
How many cases have been disposed of in Himachal Pradesh's exclusive POCSO courts?,"1,727",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Jammu and Kashmir?,229,,,,,,,,,,,,,,,,
How many cases have been disposed of in Jharkhand's exclusive POCSO courts?,"7,678",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Karnataka?,"11,551",,,,,,,,,,,,,,,,
How many cases have been disposed of in Kerala's exclusive POCSO courts?,"21,692",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Madhya Pradesh?,"28,227",,,,,,,,,,,,,,,,
How many cases have been disposed of in Maharashtra's exclusive POCSO courts?,"20,472",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Manipur?,164,,,,,,,,,,,,,,,,
How many cases have been disposed of in Meghalaya's exclusive POCSO courts?,609,,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Mizoram?,233,,,,,,,,,,,,,,,,
How many cases have been disposed of in Nagaland's exclusive POCSO courts?,66,,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Odisha?,"16,377",,,,,,,,,,,,,,,,
How many cases have been disposed of in Puducherry's exclusive POCSO courts?,101,,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Punjab?,"4,411",,,,,,,,,,,,,,,,
How many cases have been disposed of in Rajasthan's exclusive POCSO courts?,"16,055",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Tamil Nadu?,"8,142",,,,,,,,,,,,,,,,
How many cases have been disposed of in Telangana's exclusive POCSO courts?,"9,595",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Tripura?,417,,,,,,,,,,,,,,,,
How many cases have been disposed of in Uttar Pradesh's exclusive POCSO courts?,"78,023",,,,,,,,,,,,,,,,
What is the cumulative disposal of exclusive POCSO courts in Uttarakhand?,"1,723",,,,,,,,,,,,,,,,
How many cases have been disposed of in West Bengal's exclusive POCSO courts?,184,,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Andaman and Nicobar?,0,,,,,,,,,,,,,,,,
How many cases are pending in Andhra Pradesh's exclusive POCSO courts?,"6,625",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Arunachal Pradesh?,0,,,,,,,,,,,,,,,,
How many cases are pending in Assam's exclusive POCSO courts?,"5,979",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Bihar?,"19,010",,,,,,,,,,,,,,,,
How many cases are pending in Chandigarh's exclusive POCSO courts?,228,,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Chhattisgarh?,"1,969",,,,,,,,,,,,,,,,
How many cases are pending in Delhi's exclusive POCSO courts?,"3,723",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Goa?,143,,,,,,,,,,,,,,,,
How many cases are pending in Gujarat's exclusive POCSO courts?,"6,131",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Haryana?,"4,238",,,,,,,,,,,,,,,,
How many cases are pending in Himachal Pradesh's exclusive POCSO courts?,650,,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Jammu and Kashmir?,489,,,,,,,,,,,,,,,,
How many cases are pending in Jharkhand's exclusive POCSO courts?,"4,250",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Karnataka?,"6,064",,,,,,,,,,,,,,,,
How many cases are pending in Kerala's exclusive POCSO courts?,"6,694",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Madhya Pradesh?,"10,004",,,,,,,,,,,,,,,,
How many cases are pending in Maharashtra's exclusive POCSO courts?,"1,766",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Manipur?,72,,,,,,,,,,,,,,,,
How many cases are pending in Meghalaya's exclusive POCSO courts?,"1,051",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Mizoram?,76,,,,,,,,,,,,,,,,
How many cases are pending in Nagaland's exclusive POCSO courts?,47,,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Odisha?,"9,926",,,,,,,,,,,,,,,,
How many cases are pending in Puducherry's exclusive POCSO courts?,213,,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Punjab?,"1,607",,,,,,,,,,,,,,,,
How many cases are pending in Rajasthan's exclusive POCSO courts?,"5,851",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Tamil Nadu?,"4,524",,,,,,,,,,,,,,,,
How many cases are pending in Telangana's exclusive POCSO courts?,"8,581",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Tripura?,218,,,,,,,,,,,,,,,,
How many cases are pending in Uttar Pradesh's exclusive POCSO courts?,"88,457",,,,,,,,,,,,,,,,
What is the pendency of cases in exclusive POCSO courts in Uttarakhand?,969,,,,,,,,,,,,,,,,
How many cases are pending in West Bengal's exclusive POCSO courts?,"4,033",,,,,,,,,,,,,,,,
What is the purpose of the Special Courts for MPs/MLAs?,To facilitate the expeditious trial of criminal cases involving MPs and MLAs.,,,,,,,,,,,,,,,,
When were the Special Courts for MPs/MLAs directed to be set up?,As per the Supreme Court's Orders dated 01.11.2017 and 14.12.2017.,,,,,,,,,,,,,,,,
How many Special Courts have been established for MPs/MLAs?,12 Special Courts have been established.,,,,,,,,,,,,,,,,
Where are the Special Courts for MPs/MLAs located?,"They are located in NCT of Delhi, UP, Bihar, West Bengal, Madhya Pradesh, Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu, and Kerala.",,,,,,,,,,,,,,,,
How many Special Courts are currently functional?,10 Special Courts are currently functional.,,,,,,,,,,,,,,,,
Which states have discontinued their Special Courts for MPs/MLAs?,Bihar and Kerala have discontinued their Special Courts.,,,,,,,,,,,,,,,,
What is the role of the Supreme Court regarding the Special Courts for MPs/MLAs?,The performance of these Special Courts is being monitored by the Hon'ble Supreme Court of India.,,,,,,,,,,,,,,,,
Which state has 1 functional Special Court for MPs/MLAs?,Andaman and Nicobar,,,,,,,,,,,,,,,,
How many functional Special Courts are there in Andhra Pradesh?,1,,,,,,,,,,,,,,,,
What is the number of functional Special Courts in Delhi?,2,,,,,,,,,,,,,,,,
How many functional Special Courts are there in Karnataka?,1,,,,,,,,,,,,,,,,
Which state has a functional Special Court in Madhya Pradesh?,1,,,,,,,,,,,,,,,,
How many functional Special Courts are there in Maharashtra?,1,,,,,,,,,,,,,,,,
What is the number of functional Special Courts in Tamil Nadu?,1,,,,,,,,,,,,,,,,
How many functional Special Courts are there in Telangana?,1,,,,,,,,,,,,,,,,
What is the number of functional Special Courts in Uttar Pradesh?,1,,,,,,,,,,,,,,,,
Which state has 1 functional Special Court for MPs/MLAs in West Bengal?,1,,,,,,,,,,,,,,,,
How many cases have been disposed of in MP-MLA Special Courts in Andaman and Nicobar?,0,,,,,,,,,,,,,,,,
What is the number of cases disposed of in MP-MLA Special Courts in Andhra Pradesh?,0,,,,,,,,,,,,,,,,
How many cases have been disposed of in MP-MLA Special Courts in Delhi?,0,,,,,,,,,,,,,,,,
What is the number of cases disposed of in MP-MLA Special Courts in Karnataka?,28,,,,,,,,,,,,,,,,
How many cases have been disposed of in MP-MLA Special Courts in Madhya Pradesh?,5,,,,,,,,,,,,,,,,
What is the number of cases disposed of in MP-MLA Special Courts in Maharashtra?,13,,,,,,,,,,,,,,,,
How many cases have been disposed of in MP-MLA Special Courts in Tamil Nadu?,3,,,,,,,,,,,,,,,,
What is the number of cases disposed of in MP-MLA Special Courts in Telangana?,1,,,,,,,,,,,,,,,,
How many cases have been disposed of in MP-MLA Special Courts in Uttar Pradesh?,50,,,,,,,,,,,,,,,,
What is the number of cases disposed of in MP-MLA Special Courts in West Bengal?,3,,,,,,,,,,,,,,,,
How many cases are pending in MP-MLA Special Courts in Andaman and Nicobar?,80,,,,,,,,,,,,,,,,
What is the number of pending cases in MP-MLA Special Courts in Andhra Pradesh?,0,,,,,,,,,,,,,,,,
How many cases are pending in MP-MLA Special Courts in Delhi?,0,,,,,,,,,,,,,,,,
What is the number of pending cases in MP-MLA Special Courts in Karnataka?,244,,,,,,,,,,,,,,,,
How many cases are pending in MP-MLA Special Courts in Madhya Pradesh?,319,,,,,,,,,,,,,,,,
What is the number of pending cases in MP-MLA Special Courts in Maharashtra?,419,,,,,,,,,,,,,,,,
How many cases are pending in MP-MLA Special Courts in Tamil Nadu?,20,,,,,,,,,,,,,,,,
What is the number of pending cases in MP-MLA Special Courts in Telangana?,102,,,,,,,,,,,,,,,,
How many cases are pending in MP-MLA Special Courts in Uttar Pradesh?,1137,,,,,,,,,,,,,,,,
What is the number of pending cases in MP-MLA Special Courts in West Bengal?,10,,,,,,,,,,,,,,,,
Who is responsible for setting up and functioning of Fast Track Courts (FTCs)?,State Governments in consultation with the respective High Courts.,,,,,,,,,,,,,,,,
How many Fast Track Courts (FTCs) were recommended by the 14th Finance Commission?,1800 FTCs,,,,,,,,,,,,,,,,
What types of cases do Fast Track Courts (FTCs) deal with?,"Heinous crimes; civil cases related to women, children, senior citizens, HIV/AIDS, and property-related cases pending for more than 5 years.",,,,,,,,,,,,,,,,
What is the current number of functional Fast Track Courts (FTCs) as of May 2024?,866 FTCs,,,,,,,,,,,,,,,,
What is the current number of functional Fast Track Courts in Andaman and Nicobar?,0,,,,,,,,,,,,,,,,
How many Fast Track Courts are functional in Andhra Pradesh?,22,,,,,,,,,,,,,,,,
